[0] [0.996084, -1.9691e-07] [-0.00413819, -1.30432e-07]
[10] [0.995254, 0.0164171] [-0.0150803, -0.0165493]
[20] [0.994302, 0.0328324] [-0.0260206, -0.0330964]
[30] [0.993229, 0.0492436] [-0.0369576, -0.0496395]
[40] [0.992034, 0.0656487] [-0.0478902, -0.0661764]
[50] [0.990717, 0.0820458] [-0.0588168, -0.0827052]
[60] [0.98928, 0.0984328] [-0.0697363, -0.0992237]
[70] [0.987721, 0.114808] [-0.0806472, -0.11573]
[80] [0.986041, 0.131168] [-0.0915482, -0.132222]
[90] [0.984241, 0.147513] [-0.102438, -0.148698]
[100] [0.98232, 0.163839] [-0.113315, -0.165156]
[110] [0.980279, 0.180145] [-0.124178, -0.181593]
[120] [0.978118, 0.196429] [-0.135026, -0.198008]
[130] [0.975837, 0.212689] [-0.145858, -0.214398]
[140] [0.973437, 0.228923] [-0.156672, -0.230763]
[150] [0.970917, 0.245128] [-0.167466, -0.247099]
[160] [0.968279, 0.261304] [-0.17824, -0.263404]
[170] [0.965522, 0.277447] [-0.188992, -0.279677]
[180] [0.962647, 0.293556] [-0.19972, -0.295916]
[190] [0.959654, 0.309629] [-0.210425, -0.312118]
[200] [0.956543, 0.325664] [-0.221103, -0.328282]
[210] [0.953315, 0.341659] [-0.231755, -0.344406]
[220] [0.949971, 0.357611] [-0.242377, -0.360487]
[230] [0.94651, 0.37352] [-0.252971, -0.376524]
[240] [0.942933, 0.389383] [-0.263533, -0.392515]
[250] [0.939241, 0.405198] [-0.274063, -0.408457]
[260] [0.935434, 0.420963] [-0.284559, -0.424349]
[270] [0.931512, 0.436676] [-0.29502, -0.44019]
[280] [0.927476, 0.452336] [-0.305445, -0.455976]
[290] [0.923326, 0.46794] [-0.315833, -0.471706]
[300] [0.919064, 0.483486] [-0.326182, -0.487378]
[310] [0.914689, 0.498973] [-0.336491, -0.50299]
[320] [0.910201, 0.514399] [-0.346759, -0.518541]
[330] [0.905603, 0.529761] [-0.356984, -0.534027]
[340] [0.900893, 0.545058] [-0.367165, -0.549449]
[350] [0.896073, 0.560288] [-0.377302, -0.564802]
[360] [0.891143, 0.57545] [-0.387392, -0.580087]
[370] [0.886104, 0.59054] [-0.397435, -0.5953]
[380] [0.880956, 0.605558] [-0.407429, -0.61044]
[390] [0.875701, 0.620502] [-0.417373, -0.625505]
[400] [0.870338, 0.635369] [-0.427266, -0.640493]
[410] [0.864869, 0.650159] [-0.437106, -0.655403]
[420] [0.859293, 0.664868] [-0.446893, -0.670232]
[430] [0.853613, 0.679496] [-0.456625, -0.684979]
[440] [0.847828, 0.69404] [-0.466302, -0.699642]
[450] [0.841939, 0.708499] [-0.475921, -0.714219]
[460] [0.835947, 0.722871] [-0.485482, -0.728709]
[470] [0.829852, 0.737154] [-0.494983, -0.743109]
[480] [0.823656, 0.751347] [-0.504424, -0.757418]
[490] [0.817359, 0.765448] [-0.513803, -0.771634]
[500] [0.810962, 0.779454] [-0.52312, -0.785755]
